episodio,semilla,particion,transiciones,duracion_s,cobertura_max,cobertura_final,puntuacion,agente_x,agente_y,bloque_x,bloque_y,bloque_theta
93,93,entrenamiento,64,6.4,0.850088,0.850088,0.894829,397.0,438.0,294.134,336.197,1.211978
94,94,entrenamiento,67,6.7,0.884264,0.884264,0.930804,237.0,388.0,315.684,284.737,0.554251
95,95,descarte,107,10.7,0.772494,0.772494,0.813152,347.0,69.0,173.318,400.66,4.831335
96,96,descarte,190,19.0,0.85543,0.85543,0.900452,134.0,414.0,172.021,232.47,4.925792
97,97,entrenamiento,111,11.1,0.821125,0.821125,0.864342,140.0,155.0,293.193,386.703,2.820713
98,98,entrenamiento,68,6.8,0.859588,0.859588,0.904829,92.0,230.0,196.081,165.288,0.113142
99,99,descarte,82,8.2,0.823763,0.823763,0.867119,179.0,85.0,240.979,303.664,4.92138
100,100,descarte,117,11.7,0.847298,0.847298,0.891892,58.0,330.0,184.269,242.69,3.024228
101,101,descarte,92,9.2,0.811068,0.811068,0.853756,401.0,61.0,169.145,187.422,0.136981
102,102,entrenamiento,114,11.4,0.846089,0.846089,0.89062,306.0,293.0,161.962,429.045,3.505997
103,103,entrenamiento,141,14.1,0.87425,0.87425,0.920263,313.0,123.0,334.347,323.704,5.155548
104,104,descarte,137,13.7,0.821552,0.821552,0.864792,119.0,243.0,288.774,360.953,5.605167
105,105,descarte,75,7.5,0.813253,0.813253,0.856056,242.0,167.0,333.479,211.455,4.858361
106,106,descarte,126,12.6,0.816486,0.816486,0.859459,416.0,345.0,86.316,226.839,3.987438
107,107,descarte,197,19.7,0.816697,0.816697,0.859681,112.0,226.0,226.395,420.208,3.495717
108,108,descarte,112,11.2,0.858714,0.858714,0.903909,149.0,329.0,218.196,190.854,5.645125
109,109,entrenamiento,145,14.5,0.856173,0.856173,0.901235,312.0,295.0,328.673,327.934,3.51288
110,110,entrenamiento,131,13.1,0.858999,0.858999,0.904209,178.0,277.0,135.269,379.082,5.674494
111,111,entrenamiento,98,9.8,0.867812,0.867812,0.913487,390.0,414.0,326.305,188.334,0.323498
112,112,entrenamiento,71,7.1,0.880399,0.880399,0.926736,150.0,282.0,319.544,278.054,0.52473
113,113,descarte,149,14.9,0.796045,0.796045,0.837942,215.0,270.0,298.404,245.453,2.199179
114,114,descarte,165,16.5,0.850263,0.850263,0.895013,124.0,325.0,400.134,271.58,3.004858
115,115,descarte,97,9.7,0.858785,0.858785,0.903984,324.0,440.0,244.443,408.998,3.131745
116,116,descarte,178,17.8,0.86559,0.862563,0.911147,359.0,430.0,193.585,197.097,1.70671
117,117,entrenamiento,116,11.6,0.859028,0.859028,0.90424,162.0,130.0,213.836,456.122,2.502636
118,118,entrenamiento,102,10.2,0.842256,0.842256,0.886585,306.0,97.0,162.002,154.422,4.703
119,119,entrenamiento,121,12.1,0.843528,0.843528,0.887924,76.0,232.0,383.982,137.37,6.035827
120,120,entrenamiento,65,6.5,0.89344,0.89344,0.940463,217.0,306.0,277.954,327.666,0.459424
121,121,descarte,137,13.7,0.871356,0.871356,0.917217,372.0,314.0,150.79,201.603,4.900093
122,122,entrenamiento,119,11.9,0.860271,0.860271,0.905548,444.0,382.0,329.508,401.186,5.047835
123,123,descarte,205,20.5,0.840351,0.840351,0.88458,415.0,432.0,218.054,415.284,2.679693
124,124,descarte,148,14.8,0.901104,0.901104,0.948531,206.0,67.0,279.622,319.824,1.700583
125,125,entrenamiento,159,15.9,0.817046,0.817046,0.860048,207.0,276.0,337.563,296.484,3.539506
126,126,entrenamiento,171,17.1,0.841763,0.841763,0.886066,408.0,161.0,263.66,378.441,5.263391
127,127,descarte,141,14.1,0.84577,0.84577,0.890284,251.0,110.0,200.373,225.214,2.954429
128,128,entrenamiento,96,9.6,0.805718,0.805718,0.848125,260.0,133.0,179.046,175.705,4.234278
129,129,entrenamiento,156,15.6,0.847306,0.847306,0.891902,145.0,281.0,95.145,338.606,4.632175
130,130,entrenamiento,152,15.2,0.86266,0.86266,0.908063,167.0,335.0,299.905,142.044,5.004429
131,131,entrenamiento,183,18.3,0.882001,0.882001,0.928422,421.0,272.0,131.012,251.029,4.689526
132,132,entrenamiento,155,15.5,0.822143,0.822143,0.865414,403.0,364.0,179.398,278.029,6.247574
133,133,descarte,131,13.1,0.871922,0.871922,0.917813,211.0,442.0,189.609,116.076,0.84333
134,134,validacion,123,12.3,0.876371,0.876297,0.922496,88.0,426.0,176.037,298.838,5.279193
135,135,entrenamiento,103,10.3,0.823307,0.823307,0.866639,209.0,237.0,283.555,314.275,5.376175
136,136,descarte,125,12.5,0.863871,0.863329,0.909338,273.0,283.0,195.512,174.107,5.298568
137,137,entrenamiento,92,9.2,0.842889,0.842889,0.887252,272.0,344.0,152.703,329.877,3.711952
138,138,entrenamiento,186,18.6,0.880229,0.880229,0.926557,300.0,423.0,156.607,465.909,2.615235
139,139,descarte,105,10.5,0.845303,0.845303,0.889793,54.0,386.0,69.204,324.088,5.026685
140,140,entrenamiento,112,11.2,0.856885,0.856885,0.901984,154.0,216.0,218.501,192.862,5.507828
141,141,entrenamiento,186,18.6,0.799113,0.799113,0.841171,168.0,99.0,149.852,285.515,2.556511
142,142,descarte,122,12.2,0.803008,0.803008,0.845272,327.0,247.0,383.353,128.7,0.348179
143,143,descarte,146,14.6,0.885743,0.885743,0.932361,128.0,203.0,123.835,133.522,0.152486
144,144,descarte,133,13.3,0.829707,0.829707,0.873376,409.0,428.0,278.432,300.772,4.129428
145,145,entrenamiento,167,16.7,0.876025,0.876025,0.922131,87.0,156.0,202.966,248.157,4.415678
146,146,descarte,103,10.3,0.855761,0.855761,0.900802,404.0,304.0,401.475,360.532,0.398825
147,147,descarte,162,16.2,0.844094,0.844094,0.88852,264.0,282.0,347.644,207.277,3.912522
148,148,entrenamiento,78,7.8,0.858611,0.858611,0.903801,133.0,69.0,249.432,340.027,0.871279
149,149,descarte,137,13.7,0.848021,0.848021,0.892653,355.0,78.0,318.137,480.103,3.78128
150,150,descarte,113,11.3,0.84747,0.84747,0.892074,278.0,75.0,349.404,331.925,3.199322
151,151,descarte,152,15.2,0.877584,0.877584,0.923772,268.0,423.0,105.064,193.44,5.23753
152,152,descarte,154,15.4,0.846867,0.83704,0.891439,270.0,249.0,130.724,307.175,3.849925
153,153,descarte,97,9.7,0.79469,0.772152,0.836516,145.0,206.0,314.677,327.184,5.119449
154,154,descarte,99,9.9,0.853535,0.853535,0.898457,379.0,327.0,196.011,120.368,0.247209
155,155,descarte,94,9.4,0.815243,0.815243,0.858151,427.0,304.0,265.03,283.757,2.824524
156,156,entrenamiento,90,9.0,0.8447,0.8447,0.889158,94.0,254.0,180.003,485.664,2.754125
157,157,validacion,114,11.4,0.816696,0.816696,0.85968,218.0,101.0,400.728,253.855,2.831578
158,158,entrenamiento,105,10.5,0.848244,0.848244,0.892888,256.0,426.0,332.276,342.534,4.135765
159,159,entrenamiento,94,9.4,0.785773,0.785773,0.827129,61.0,401.0,364.188,413.29,2.547528
160,160,entrenamiento,147,14.7,0.865725,0.865725,0.91129,410.0,204.0,331.695,222.23,1.687279
161,161,entrenamiento,137,13.7,0.824178,0.824178,0.867556,128.0,445.0,107.999,317.264,4.41319
162,162,descarte,161,16.1,0.860959,0.860959,0.906272,381.0,387.0,135.451,420.044,3.745374
163,163,entrenamiento,76,7.6,0.86515,0.86515,0.910684,403.0,192.0,290.952,270.904,0.561268
164,164,descarte,126,12.6,0.831485,0.831485,0.875247,170.0,308.0,195.553,280.887,3.515747
165,165,entrenamiento,193,19.3,0.822641,0.822641,0.865938,270.0,410.0,112.0,301.868,4.715312
166,166,entrenamiento,105,10.5,0.846608,0.846608,0.891166,55.0,363.0,180.248,203.844,5.995882
167,167,entrenamiento,140,14.0,0.849504,0.849504,0.894214,371.0,316.0,216.748,320.999,3.147188
168,168,descarte,85,8.5,0.853466,0.853466,0.898385,263.0,305.0,350.182,358.105,5.802226
169,169,descarte,134,13.4,0.825618,0.825618,0.869072,341.0,99.0,403.907,338.11,1.506525
170,170,entrenamiento,130,13.0,0.849044,0.848901,0.893731,89.0,342.0,87.461,279.279,5.706429
171,171,descarte,115,11.5,0.849134,0.849134,0.893825,354.0,72.0,190.67,297.363,5.839196
172,172,entrenamiento,78,7.8,0.834877,0.834877,0.878818,332.0,219.0,236.393,187.466,0.255974
173,173,descarte,131,13.1,0.847804,0.847804,0.892425,279.0,78.0,386.973,282.255,2.730721
174,174,entrenamiento,246,24.6,0.879705,0.879705,0.926006,351.0,118.0,253.5,467.971,3.665194
175,175,descarte,146,14.6,0.811711,0.811711,0.854433,326.0,134.0,194.846,378.586,3.682065
176,176,entrenamiento,89,8.9,0.848668,0.848668,0.893335,370.0,239.0,300.087,238.21,4.774428
177,177,descarte,127,12.7,0.856441,0.856441,0.901517,99.0,297.0,296.902,408.437,3.299997
178,178,entrenamiento,148,14.8,0.840555,0.840555,0.884794,232.0,271.0,139.14,186.813,2.209112
179,179,entrenamiento,155,15.5,0.852874,0.852874,0.897762,421.0,73.0,346.897,433.952,1.503
180,180,descarte,170,17.0,0.858123,0.858123,0.903288,291.0,328.0,127.255,215.962,2.772023
181,181,descarte,107,10.7,0.819499,0.819499,0.862631,303.0,363.0,401.618,368.849,1.701139
182,182,descarte,56,5.6,0.849912,0.849912,0.894645,367.0,240.0,347.702,234.1,0.750846
183,183,entrenamiento,139,13.9,0.842915,0.842915,0.887279,343.0,302.0,173.895,243.121,5.073025
184,184,entrenamiento,229,22.9,0.842892,0.827088,0.887255,322.0,233.0,142.193,379.579,0.160525
185,185,entrenamiento,64,6.4,0.881905,0.881905,0.928321,306.0,371.0,227.98,236.498,0.855814
186,186,descarte,92,9.2,0.841089,0.841089,0.885357,223.0,430.0,245.501,399.877,0.807054
187,187,descarte,145,14.5,0.883891,0.883891,0.930412,157.0,336.0,174.025,327.724,3.252381
188,188,entrenamiento,105,10.5,0.787072,0.787072,0.828497,324.0,108.0,241.224,442.129,2.625062
189,189,entrenamiento,160,16.0,0.817864,0.817864,0.86091,113.0,370.0,282.499,336.975,3.108284
190,190,descarte,204,20.4,0.868843,0.868843,0.914571,128.0,446.0,356.091,424.443,5.018412
191,191,descarte,159,15.9,0.845683,0.845683,0.890193,53.0,174.0,66.391,207.238,5.405787
192,192,entrenamiento,185,18.5,0.859131,0.859131,0.904348,148.0,427.0,170.696,467.59,4.080238
193,193,descarte,125,12.5,0.861468,0.861468,0.906809,288.0,432.0,317.607,356.886,5.812853
194,194,entrenamiento,95,9.5,0.852231,0.852231,0.897086,275.0,200.0,378.204,423.581,2.749287
195,195,entrenamiento,100,10.0,0.868552,0.868552,0.914265,341.0,203.0,282.791,389.282,0.849445
196,196,descarte,105,10.5,0.866893,0.866893,0.912519,78.0,378.0,227.878,139.009,0.019508
197,197,descarte,167,16.7,0.854126,0.854126,0.89908,323.0,366.0,91.827,214.414,4.904366
198,198,entrenamiento,125,12.5,0.887389,0.887389,0.934094,304.0,121.0,231.857,391.107,2.502069
199,199,descarte,153,15.3,0.853796,0.853796,0.898733,424.0,338.0,127.657,273.901,4.984614
200,200,entrenamiento,167,16.7,0.860361,0.860361,0.905643,332.0,155.0,366.642,398.32,6.163831
201,201,descarte,92,9.2,0.861049,0.861049,0.906368,50.0,91.0,118.739,199.087,0.429512
202,202,descarte,167,16.7,0.87781,0.87781,0.924011,201.0,110.0,373.923,290.788,5.770413
203,203,entrenamiento,150,15.0,0.878486,0.878486,0.924722,158.0,439.0,299.896,368.74,5.820049
204,204,descarte,133,13.3,0.856973,0.856973,0.902076,115.0,302.0,300.004,414.58,4.699509
205,205,descarte,49,4.9,0.784194,0.784194,0.825467,372.0,342.0,368.707,333.895,2.390595
